air_temperature,humidity,rain_intensity,interval_rain,total_rain,wind_speed,solar_radiation,sulfur_solo,ph_solo,sulphates_solo,quality,review,vine_zones
21.0,66.84,0.0,0.192,5.356,1.3559999999999999,251.36,34.0,5.51,0.56,5,3.0,10.0
19.0,67.29166666666667,0.0,0.10000000000000002,6.608333333333333,1.4333333333333333,159.95833333333334,67.0,5.2,0.68,5,3.0,10.0
16.0,84.41666666666667,0.27499999999999997,0.4583333333333333,9.883333333333335,3.4791666666666665,34.708333333333336,54.0,5.26,0.65,5,3.0,8.0
31.0,87.25,0.3,0.3166666666666667,9.762500000000001,7.2124999999999995,121.875,60.0,5.16,0.58,6,4.0,13.0
18.0,78.125,0.0,0.0,10.3,3.233333333333334,182.125,34.0,5.51,0.56,5,3.0,9.0
19.0,74.2,0.0,0.0,10.3,1.048,217.28,40.0,5.51,0.56,5,3.0,11.0
22.0,67.95833333333333,0.0,0.0,10.3,1.4000000000000001,319.5833333333333,59.0,5.3,0.46,5,3.0,9.0
32.0,75.20833333333333,0.0,0.0,10.3,1.6541666666666668,112.625,21.0,5.390000000000001,0.47,7,5.0,13.0
27.0,85.58333333333333,0.0,0.0,11.766666666666667,2.2666666666666666,169.375,18.0,5.359999999999999,0.57,7,5.0,13.0
22.0,78.5,0.19999999999999998,0.3625,14.195833333333335,1.7541666666666667,243.20833333333334,102.0,5.35,0.8,5,3.0,9.0
23.0,70.24,0.8880000000000001,0.27599999999999997,21.828000000000003,2.1719999999999997,207.88,65.0,5.279999999999999,0.54,5,3.0,5.0
19.0,54.541666666666664,0.0,0.0,27.8,1.9083333333333332,210.0,102.0,5.35,0.8,5,3.0,7.0
13.0,66.33333333333333,0.0,0.0,27.8,1.3916666666666666,220.16666666666666,59.0,5.58,0.52,5,3.0,11.0
15.0,90.45833333333333,0.6750000000000002,0.2333333333333333,31.141666666666666,1.6916666666666667,115.04166666666667,29.0,5.26,1.56,5,3.0,5.0
22.0,91.83333333333333,0.0,0.0,35.19166666666667,1.7249999999999999,231.375,145.0,5.16,0.88,5,3.0,10.0
13.0,83.92,1.584,1.268,55.668,0.988,109.68,148.0,5.17,0.93,5,3.0,7.0
32.0,85.20833333333333,1.325,1.2708333333333333,73.55416666666667,0.9666666666666667,84.16666666666667,103.0,5.3,0.75,7,5.0,12.0
23.0,83.66666666666667,0.625,0.5125000000000001,110.06666666666666,2.4583333333333335,281.7916666666667,56.0,5.109999999999999,1.28,5,3.0,10.0
3.0,78.83333333333333,0.35000000000000003,0.30416666666666664,107.12083333333334,1.5416666666666667,115.41666666666667,29.0,5.38,0.5,4,2.0,4.0
30.0,78.5,0.0,0.08333333333333333,113.64999999999999,1.3666666666666665,105.875,56.0,5.04,1.08,6,4.0,12.0
25.0,83.6,0.0,0.0,114.7,3.0239999999999996,214.44,60.0,5.390000000000001,0.53,6,4.0,12.0
19.0,83.54166666666667,0.15,0.3,117.61666666666667,1.7125000000000001,112.79166666666667,71.0,5.52,0.65,5,3.0,9.0
20.0,75.41666666666667,0.0,0.0,130.31666666666666,1.6583333333333332,101.41666666666667,37.0,5.17,0.91,5,3.0,8.0
20.0,77.0,0.325,0.3541666666666667,173.5666666666667,3.608333333333333,116.41666666666667,67.0,5.17,0.53,5,3.0,10.0
26.0,73.0,0.0,0.0,170.70000000000002,2.566666666666667,299.75,40.0,5.43,0.63,6,4.0,13.0
21.0,68.4,0.0,0.0,175.692,0.992,302.52,23.0,5.34,0.56,5,3.0,10.0
24.0,64.75,0.0,0.0,170.70000000000002,1.0833333333333333,221.45833333333334,11.0,5.279999999999999,0.59,5,3.0,9.0
20.0,60.041666666666664,0.0,0.0,170.70000000000002,1.0375,132.66666666666666,37.0,5.17,0.91,5,3.0,11.0
15.0,89.04166666666667,1.55,1.6833333333333333,187.9,1.3541666666666667,187.5,35.0,5.470000000000001,0.55,5,3.0,9.0
32.0,92.875,0.0,0.004166666666666667,190.98749999999998,2.9166666666666665,31.25,16.0,5.38,0.59,6,4.0,12.0
21.0,94.8,0.6719999999999999,0.368,193.34799999999998,2.824,54.72,82.0,5.35,0.54,5,3.0,10.0
27.0,91.95833333333333,1.075,1.9083333333333334,214.15416666666667,2.829166666666667,8.125,37.0,5.46,0.57,6,4.0,13.0
17.0,82.25,0.0,0.0,218.70833333333334,4.020833333333333,449.375,113.0,5.17,0.66,5,3.0,9.0
